titulo,ubicacion,precio_valor,precio_moneda,dorms,banos,baños,superficie_m2,imagen_url,fuente,url
Residencia Estudiantil Femenina / Coliving Estudiantes / Renta De Habitaciones Para Estudiantes,"Simón Bolivar 1200 - 1500, Montevideo, Parque Batlle, Montevideo",10000,$,N/A,5,5,255,https://http2.mlstatic.com/D_NQ_NP_2X_686704-MLU88719136709_072025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-889089234-residencia-estudiantil-femenina-coliving-estudiantes-renta-de-habitaciones-para-estudiantes-_JM
"Casa Para 10, 6 Y 4 Personas! Bajamos Los Precios!!! Balneario Artilleros A 1000 Metros Del Parque Acuatico!","Camino La Balsa, Calle 3, Artilleros, Colonia",2500,$,2,1,1,45,https://http2.mlstatic.com/D_NQ_NP_2X_725355-MLU71827431200_092023-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-889102938-casa-para-10-6-y-4-personas-bajamos-los-precios-balneario-artilleros-a-1000-metros-del-parque-acuatico-_JM
Bajo De Precio!!!! Muy Lindo Apartamento A La Calle Con Balc,"Juan Ramón Gómez 2756, Montevideo, La Blanqueada, Montevideo",23200,$,1,1,1,55,https://http2.mlstatic.com/D_NQ_NP_2X_936879-MLU92442773273_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-907557530-bajo-de-precio-muy-lindo-apartamento-a-la-calle-con-balc-_JM
Dueño. 18 De Julio Y Río Negro. Todo Al Frente. Entre Plaza Entrevero Y Cagancha. 6a Piso.,"Av. 18 De Julio 1071, 11100 Montevideo, Departamento De Montevideo, Uruguay, Centro, Montevideo",31000,$,2,1,1,66,https://http2.mlstatic.com/D_NQ_NP_2X_901227-MLU91400331281_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-903036162-dueno-18-de-julio-y-rio-negro-todo-al-frente-entre-plaza-entrevero-y-cagancha-6a-piso-_JM
Alquilo Casa 2 Dormitorios Barra Del Chui Brasil .,"59 3000, 27100 Puimayen, Departamento De Rocha, Uruguay, Barra Del Chuy, Rocha",1500,$,2,1,1,65,https://http2.mlstatic.com/D_NQ_NP_2X_733550-MLU51788257709_102022-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907553600-alquilo-casa-2-dormitorios-barra-del-chui-brasil--_JM
"Metalurgica, Distribuidora, Carpinteria, Carteleria, Deposito, Etc, Etc, Vealo !! Carga Y Descarga Dentro Del Local......r, Correa Esq Millan ,650 M2, Galpon 200 M2, Trif 30000 Wats, Entrada Camiones","Juan Rodríguez Correa 1438, Montevideo, Prado, Montevideo",55000,$,N/A,2,2,207,https://http2.mlstatic.com/D_NQ_NP_2X_975462-MLU92400320322_092025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-896092840-metalurgica-distribuidora-carpinteria-carteleria-deposito-etc-etc-vealo-carga-y-descarga-dentro-del-localr-correa-esq-millan-650-m2-galpon-200-m2-trif-30000-wats-entrada-camiones-_JM
Alquilo  Casa En Rocha  A 2 Cuadras De La Playa,"1 Y 25 1044, Balneario La Esmeralda, Rocha",3000,$,2,1,1,300,https://http2.mlstatic.com/D_NQ_NP_2X_700414-MLU95627878684_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-653580653-alquilo-casa-en-rocha-a-2-cuadras-de-la-playa-_JM
"Penthouse En El Corazón De Pocitos, Con Parrillero Y Garage","Miguel Barreiro 3210, Montevideo, Pocitos, Montevideo",65000,$,3,2,2,110,https://http2.mlstatic.com/D_NQ_NP_2X_908013-MLU95273833862_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-907449490-penthouse-en-el-corazon-de-pocitos-con-parrillero-y-garage-_JM
Casa En Aquiler Malvin Estilo Colonial Sencilla Con Cochera Para 1 Auto,"Montevideo, Malvin",48000,$,3,1,1,120,https://http2.mlstatic.com/D_NQ_NP_2X_760117-MLU95845395429_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907440088-casa-en-aquiler-malvin-estilo-colonial-sencilla-con-cochera-para-1-auto-_JM
"Barrio Colón. Sobre Calle César Mayo Gutiérrez Casi Fernando Menk. Casa De Altos De Un Dorm, Amplio Living Comedor, Cocina Y Baño Impecables, Acceso A Azotea Utilizable Y Lugar Para Un Auto !!!!!","Cesar Mayo Gutierrez Y Fernando Mel, 12400 Montevideo, Departamento De Montevideo, Uruguay, Colón, Montevideo",19500,$,1,1,1,55,https://http2.mlstatic.com/D_NQ_NP_2X_839791-MLU92612486180_092025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907453332-barrio-colon-sobre-calle-cesar-mayo-gutierrez-casi-fernando-menk-casa-de-altos-de-un-dorm-amplio-living-comedor-cocina-y-bano-impecables-acceso-a-azotea-utilizable-y-lugar-para-un-auto--_JM
Residencia Femenina,"Hocquart 1, Montevideo, Aguada, Montevideo",9500,$,N/A,3,3,400,https://http2.mlstatic.com/D_NQ_NP_2X_762266-MLU82710471537_022025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-889064138-residencia-femenina-_JM
Pocitos Alquiler Local Comercial Con Vidriera Y Deposito,"Galeria Del Edificio Torre De La Plaza, Gabriel Pereira 3111, Montevideo, Pocitos, Montevideo",58000,$,N/A,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_833144-MLU92694766003_092025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-868870488-pocitos-alquiler-local-comercial-con-vidriera-y-deposito-_JM
Julio Ma Sosa Esquina Maggiollo.- Frente Al Golf. Living Y Comedor. Estar Diario. Estufa A Lena Y Parrillero. Calefaccion Central Por Loza Radiante. 2 Garages Fijos. Contrato Dos Años  Admite Mascota.,"Av. Julio Maria Sosa, Montevideo, Punta Carretas, Montevideo",2400,US$,4,4,4,200,https://http2.mlstatic.com/D_NQ_NP_2X_798567-MLU94811598068_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-902968720-julio-ma-sosa-esquina-maggiollo-frente-al-golf-living-y-comedor-estar-diario-estufa-a-lena-y-parrillero-calefaccion-central-por-loza-radiante-2-garages-fijos-contrato-dos-anos-admite-mascota-_JM
"Excelente Casa Al Frente En Barrio Los Bulevares. Vecindario Tranquilo. Próximo A Luis Batlle Berres Y La Uam. A Media Cuadra Líneas De Bus Y Cuadra Y Media De Super, Panadería Y Red De Cobranzas.","El Asentamiento 7574, Montevideo, Paso De La Arena, Montevideo",22000,$,2,1,1,70,https://http2.mlstatic.com/D_NQ_NP_2X_769764-MLU91882883021_092025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-890055636-excelente-casa-al-frente-en-barrio-los-bulevares-vecindario-tranquilo-proximo-a-luis-batlle-berres-y-la-uam-a-media-cuadra-lineas-de-bus-y-cuadra-y-media-de-super-panaderia-y-red-de-cobranzas-_JM
"Residencia Estudiantil De Época, Excelente Ubicacion","Montevideo, Centro",10000,$,N/A,3,3,400,https://http2.mlstatic.com/D_NQ_NP_2X_693630-MLU83530021542_042025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-898471270-residencia-estudiantil-de-epoca-excelente-ubicacion-_JM
Casa De Piedra Guazuvira,"Espinillos SN, Guazú-Virá, Canelones",3000,$,3,2,2,250,https://http2.mlstatic.com/D_NQ_NP_2X_692214-MLU88930981512_082025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-896078644-casa-de-piedra-guazuvira-_JM
"Cabaña De Troncos, Temporada, Parrillero, Piscina Climatizad","67 7155, 20200 Bella Vista, Departamento De Maldonado, Uruguay, Bella Vista, Maldonado",120,US$,2,1,1,160,https://http2.mlstatic.com/D_NQ_NP_2X_970963-MLU52850711885_122022-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-903098702-cabana-de-troncos-temporada-parrillero-piscina-climatizad-_JM
"En Ciudad De La Costa Consultorios Y Oficinas Para Alquiler Por Hora, Semanal O  Mensual.","16 De Marzo De 1984, Ciudad De La Costa, Solymar, Ciudad De La Costa, Canelones",230,$,N/A,2,2,500,https://http2.mlstatic.com/D_NQ_NP_2X_735588-MLU91901626726_092025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-898537372-en-ciudad-de-la-costa-consultorios-y-oficinas-para-alquiler-por-hora-semanal-o-mensual-_JM
"Se Alquila En Punta Del Este Por Temporada Hermoso Y Cómodo Apartamento Ubicado En El Complejo Arcobaleno, A Tres Cuadras De La Playa Mansa Parada 16.","BUS - (0441), Benito Fajardo, 20005 Maldonado, Departamento De Maldonado, Uruguay, Cantegril, Punta Del Este, Maldonado",12,US$,1,1,1,42,https://http2.mlstatic.com/D_NQ_NP_2X_751601-MLU94816627562_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-903112168-se-alquila-en-punta-del-este-por-temporada-hermoso-y-comodo-apartamento-ubicado-en-el-complejo-arcobaleno-a-tres-cuadras-de-la-playa-mansa-parada-16-_JM
Se Alquila Duplex Nuevos Y Semi Nuevos  De 2 Dorm Con Lugar  P/ Auto Y Patio Al Fdo !!,"AVENIDA LEZICA ENTRE AVIADORES CIVILES Y CNO MELILLA 6680, Lezica, Montevideo",20900,$,2,1,1,60,https://http2.mlstatic.com/D_NQ_NP_2X_847566-MLU83052237231_032025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-903086108-se-alquila-duplex-nuevos-y-semi-nuevos-de-2-dorm-con-lugar-p-auto-y-patio-al-fdo--_JM
Residencia Estudiantil En Cordon A Pasos De Las Principales Universidades,"Miguelete 1470, Montevideo, Cordón, Montevideo",7400,$,N/A,20,20,20,https://http2.mlstatic.com/D_NQ_NP_2X_991453-MLU83702552646_042025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-915630658-residencia-estudiantil-en-cordon-a-pasos-de-las-principales-universidades-_JM
"Alquiler Casa En Piriápolis (playa Grande) - Temporada Alta, Vacaciones O Estadías De Una Semana Mínimo !!","Calle 1 & Misiones, Playa Grande Departamento De Maldonado, Uruguay, Piriápolis, Maldonado",100,US$,2,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_938877-MLU73512113713_122023-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-894428826-alquiler-casa-en-piriapolis-playa-grande-temporada-alta-vacaciones-o-estadias-de-una-semana-minimo--_JM
Alquiler Local Comercial En Buceo,"ESTIVAO  1663 BIS, Buceo, Montevideo",20000,$,N/A,1,1,30,https://http2.mlstatic.com/D_NQ_NP_2X_916284-MLU91826706541_092025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-653554571-alquiler-local-comercial-en-buceo-_JM
Apartamento En Alquiler Primera Fila Al Mar. Vista Directa. Brava,"BUS 0770, 10, 20100 Punta Del Este, Departamento De Maldonado, Uruguay, Playa Brava, Punta Del Este, Maldonado",15,US$,2,2,2,80,https://http2.mlstatic.com/D_NQ_NP_2X_797036-MLU92295651532_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-912864090-apartamento-en-alquiler-primera-fila-al-mar-vista-directa-brava-_JM
Casa En Alquiler La Comercial Con Garage,"Montevideo, La Comercial",35000,$,2,1,1,65,https://http2.mlstatic.com/D_NQ_NP_2X_757351-MLU95815219822_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-889602674-casa-en-alquiler-la-comercial-con-garage-_JM
"Alquilo Precioso Apto De 3 Dorm, Barbacoa Y Patio En Luis A. De Herrera Casi Av. Italia","Av. Luis Alberto De Herrera, Montevideo, La Blanqueada, Montevideo",29900,$,3,1,1,65,https://http2.mlstatic.com/D_NQ_NP_2X_782372-MLU95814426457_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-911277294-alquilo-precioso-apto-de-3-dorm-barbacoa-y-patio-en-luis-a-de-herrera-casi-av-italia-_JM
"Muy Lindo Apartamento De Tres Dormitorios, Dos Baños, Terrazas, Cocina Definida,garaje Para Dos Autos","Carlos Anaya 3074, Montevideo, La Blanqueada, Montevideo",43000,$,3,2,2,78,https://http2.mlstatic.com/D_NQ_NP_2X_675309-MLU94687505682_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-898355088-muy-lindo-apartamento-de-tres-dormitorios-dos-banos-terrazas-cocina-definidagaraje-para-dos-autos-_JM
Soleados Y Amplios Monoambientes Y 1 Dormitorio!! Ultimas Unidades!! Sin Gastos Comunes!,"Vilardebó 1378, Montevideo, Aguada, Montevideo",18500,$,1,1,1,35,https://http2.mlstatic.com/D_NQ_NP_2X_787216-MLU93432523718_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-905634482-soleados-y-amplios-monoambientes-y-1-dormitorio-ultimas-unidades-sin-gastos-comunes-_JM
Ghiterman Alquila Mono Ambiente Grande En El Cordón .,"Rodo  2046, Cordón, Montevideo",18000,$,N/A,1,1,40,https://http2.mlstatic.com/D_NQ_NP_2X_954485-MLU91374990807_082025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-889052540-ghiterman-alquila-mono-ambiente-grande-en-el-cordon--_JM
Casas Alquiler Anual 2 Dormitorios - C101722,"Calle 15, Playa Verde, Maldonado",18000,$,2,1,1,40,https://http2.mlstatic.com/D_NQ_NP_2X_611459-MLU91136816920_092025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-801829350-casas-alquiler-anual-2-dormitorios-c101722-_JM
Alquilo Hermosa Cabaña De 2 Dormitorios En Barra Del Chui Brasil,"Rua B  339, Barra Del Chuy, Rocha",1500,$,2,1,1,55,https://http2.mlstatic.com/D_NQ_NP_2X_767532-MLU51788347515_102022-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907605696-alquilo-hermosa-cabana-de-2-dormitorios-en-barra-del-chui-brasil-_JM
Alquiler De Locales Comerciales En Pleno Centro De Colon !!!,"AVENIDA LEZICA Y GARZON !!! 0000, Colón, Montevideo",12900,$,N/A,N/A,N/A,157,https://http2.mlstatic.com/D_NQ_NP_2X_879061-MLU71178845635_082023-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-653534117-alquiler-de-locales-comerciales-en-pleno-centro-de-colon--_JM
Residencia Estudiantil Femenina  New House,"José Pedro Varela  1123, Paysandú",10000,$,N/A,2,2,N/A,https://http2.mlstatic.com/D_NQ_NP_2X_904448-MLU80906484701_112024-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-896091690-residencia-estudiantil-femenina-new-house-_JM
"Casa Para Veranear En Costa Azul, Descanso Arena Y Sol.","Costa Azul, Canelones",1500,$,2,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_761734-MLU80810533690_112024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-907448594-casa-para-veranear-en-costa-azul-descanso-arena-y-sol-_JM
Alquiler Cochera Garage  Ciudad Vieja Mensuales Victoria Pla,"Florida 1430, Montevideo Departamento De Montevideo, Uruguay, Ciudad Vieja, Montevideo",3200,$,N/A,N/A,N/A,15,https://http2.mlstatic.com/D_NQ_NP_2X_740521-MLU74803327923_022024-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-912900638-alquiler-cochera-garage-ciudad-vieja-mensuales-victoria-pla-_JM
Reservado Dueño Alquila Apartamento En Centro,"Av Gral Rondeau 1530, Montevideo, Centro, Montevideo",18000,$,1,1,1,40,https://http2.mlstatic.com/D_NQ_NP_2X_919781-MLU97011956241_112025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-935670336-reservado-dueno-alquila-apartamento-en-centro-_JM
Alquiler Temporal Apartamento Punta Del Este Edif Green Life Roosevelt 1 Dorm Garage Amenities Piscina Tenis Greenlife,"3395+C6P, 20000 Punta Del Este, Maldonado Department, Uruguay, Cantegril, Punta Del Este, Maldonado",80,US$,1,1,1,59,https://http2.mlstatic.com/D_NQ_NP_2X_913952-MLU48790963786_012022-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-653526749-alquiler-temporal-apartamento-punta-del-este-edif-green-life-roosevelt-1-dorm-garage-amenities-piscina-tenis-greenlife-_JM
"Apto Piso 3, Cordon, 1 Dorm + 1 Baño ! Excelente Estado Y Ubicación !","Av. 18 De Julio 2142, Montevideo, Centro, Montevideo",24000,$,1,1,1,37,https://http2.mlstatic.com/D_NQ_NP_2X_840776-MLU96676720006_112025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-907474478-apto-piso-3-cordon-1-dorm-1-bano-excelente-estado-y-ubicacion--_JM
Alquilo Casa En Balneario Bsas Con Piscina Climatizada,"Calle 22 Entre La 48 Y La 49 SN, Balneario Buenos Aires, Maldonado",350,US$,3,2,2,250,https://http2.mlstatic.com/D_NQ_NP_2X_706195-MLU85458804019_052025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-653547829-alquilo-casa-en-balneario-bsas-con-piscina-climatizada-_JM
"Monoambiente  Al Frente Vista Al Parque, Cerca De 5 Facultades, Gran Vista, Excelente","C. Joaquin De Salterain 929, Montevideo, Parque Rodó, Montevideo",16800,$,1,1,1,20,https://http2.mlstatic.com/D_NQ_NP_2X_701755-MLU86737962504_072025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-653811139-monoambiente-al-frente-vista-al-parque-cerca-de-5-facultades-gran-vista-excelente-_JM
Casa En Alquiler Brazo Oriental 3 Dormitorios Y Entrada Para Auto,"Montevideo, Brazo Oriental",26000,$,3,1,1,65,https://http2.mlstatic.com/D_NQ_NP_2X_834947-MLU93991968163_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-935793106-casa-en-alquiler-brazo-oriental-3-dormitorios-y-entrada-para-auto-_JM
"Espectacular Apto Remodelado A Nuevo, A 1 Cuadra De La Rambla, Todo Al Frente, Luminoso, En Una Zona Premium","Blvr. Juan Benito Blanco 3299, Montevideo, Pocitos, Montevideo",29000,$,1,1,1,46,https://http2.mlstatic.com/D_NQ_NP_2X_693846-MLU94802259398_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-898513108-espectacular-apto-remodelado-a-nuevo-a-1-cuadra-de-la-rambla-todo-al-frente-luminoso-en-una-zona-premium-_JM
Alquilo Casa Costa Azul A 2 Cuadras Y Media De La Playa     Aceptamos Mascotas,"Storni Entre Lueiro Y Asturias 000, Costa Azul, Canelones",2000,$,2,1,1,48,https://http2.mlstatic.com/D_NQ_NP_2X_602263-MLU73158003665_112023-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-653559583-alquilo-casa-costa-azul-a-2-cuadras-y-media-de-la-playa-aceptamos-mascotas-_JM
Casa La Caracola Barra Del Chuy Uruguaya,"Parada 12 SN, Barra Del Chuy, Rocha",1800,$,1,1,1,30,https://http2.mlstatic.com/D_NQ_NP_2X_940574-MLU73742240083_012024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-909879534-casa-la-caracola-barra-del-chuy-uruguaya-_JM
Apartamento En Alquiler En Piriápolis,"Atanasio Sierra Y Tucuman  920, Piriápolis, Maldonado",1500,$,2,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_443815-MLU25310438863_012017-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-889050684-apartamento-en-alquiler-en-piriapolis-_JM
Alquilo Excelente Apto En Punta Del Este Sobre Roosvelt,"Avenida Roosvelt Y Mar Chiquita 019, Cantegril, Punta Del Este, Maldonado",110,US$,2,1,1,400,https://http2.mlstatic.com/D_NQ_NP_2X_678338-MLU91296498009_082025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-925777224-alquilo-excelente-apto-en-punta-del-este-sobre-roosvelt-_JM
Casa En Alquiler Santa Ana Con Aire Acondicionado,"Calle 17 A Media Cuadra De La 22 SN, Santa Ana, Canelones",3000,$,2,1,1,100,https://http2.mlstatic.com/D_NQ_NP_2X_610945-MLU79922428066_102024-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-889096336-casa-en-alquiler-santa-ana-con-aire-acondicionado-_JM
"Casa En Alquiler, Por Día Balneario Santa Regina","Pati Y Amarillo  SN, Santa Regina, Colonia",2000,$,2,1,1,56,https://http2.mlstatic.com/D_NQ_NP_2X_708602-MLU88518405727_072025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-898314970-casa-en-alquiler-por-dia-balneario-santa-regina-_JM
Venta 2 Dormitorios Con   Patio Centro Alquilado,"Mercedes & Ejido, Montevideo Departamento De Montevideo, Uruguay, Centro, Montevideo",109000,US$,2,1,1,60,https://http2.mlstatic.com/D_NQ_NP_2X_677360-MLU70219467504_062023-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-902996040-venta-2-dormitorios-con-patio-centro-alquilado-_JM
"Plaza Italia, Apartamento Soleado Y Cálido, 2 Dormitorios, Impecable Para Entrar.","Samuel Blixen 4372, Montevideo, Malvin, Montevideo",33600,$,2,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_635131-MLU89586680221_082025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-889602752-plaza-italia-apartamento-soleado-y-calido-2-dormitorios-impecable-para-entrar-_JM
"Casa Muy Luminosa , Con Entrada Para Vehiculo, En Barrio Los Bulevares. Próximo A Luis Batlle Berres Y A La Uam. A 1 Cuadra Lineas Bus, Super ,panadería  Y Red De Cobranzas.","El Asentamiento, Montevideo, Paso De La Arena, Montevideo",13000,$,1,1,1,38,https://http2.mlstatic.com/D_NQ_NP_2X_864527-MLU94889168181_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-889096150-casa-muy-luminosa-con-entrada-para-vehiculo-en-barrio-los-bulevares-proximo-a-luis-batlle-berres-y-a-la-uam-a-1-cuadra-lineas-bus-super-panaderia-y-red-de-cobranzas-_JM
Residencia Estudiantil 21 De Setiembre Y Sarmiento,"21 De Setiembre 2627, Punta Carretas, Montevideo",10000,$,N/A,6,6,300,https://http2.mlstatic.com/D_NQ_NP_2X_919852-MLU26483998467_122017-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-653875735-residencia-estudiantil-21-de-setiembre-y-sarmiento-_JM
Hermosa Casa 2 Dormitorios Amplios  + Estacionamiento,"Comercio 2763, Montevideo, Unión, Montevideo",28000,$,2,1,1,80,https://http2.mlstatic.com/D_NQ_NP_2X_918819-MLU96053847056_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-922767678-hermosa-casa-2-dormitorios-amplios-estacionamiento-_JM
Alquiler De 2 Dormitorios En La Blanqueada - Ventura Terrazas 505,"Monte Caseros 2870, Montevideo, La Blanqueada, Montevideo",36000,$,2,1,1,56,https://http2.mlstatic.com/D_NQ_NP_2X_744568-MLU92793212844_092025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-875605716-alquiler-de-2-dormitorios-en-la-blanqueada-ventura-terrazas-505-_JM
"Alquiler Temporada Atlántida, Casa 2 Dormitorios.","Atlántida, Canelones",2200,$,2,1,1,60,https://http2.mlstatic.com/D_NQ_NP_2X_903419-MLU94979981009_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-653574473-alquiler-temporada-atlantida-casa-2-dormitorios-_JM
Apartamento En El Corazón De Paysandú. Cerca De Todos Ñados,"33 Orientales 944, Paysandú, Paysandú",16500,$,1,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_661021-MLU95200756010_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-910070682-apartamento-en-el-corazon-de-paysandu-cerca-de-todos-nados-_JM
Descuento Por Estadias Largas. Casas De Barro De Alquiler Por Dia En Punta Rubia,"Av. Las Maravillas 2484, 27400 Punta Rubia, Departamento De Rocha, Uruguay, Punta Rubia, Rocha",50,US$,1,1,1,36,https://http2.mlstatic.com/D_NQ_NP_2X_887000-MLU40184803956_122019-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-935811508-descuento-por-estadias-largas-casas-de-barro-de-alquiler-por-dia-en-punta-rubia-_JM
"Apartamento 2 Dormitorios, Excelente Ubicación.","Charrúa 2266, Montevideo, Cordón, Montevideo",26000,$,2,1,1,50,https://http2.mlstatic.com/D_NQ_NP_2X_707051-MLU96490754390_112025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-936578526-apartamento-2-dormitorios-excelente-ubicacion-_JM
Hermosa Casa Con Pisos Y Patio Nuevos!,"Victor Manuel 6070, Montevideo, Jardines Hipódromo, Montevideo",18000,$,1,1,1,80,https://http2.mlstatic.com/D_NQ_NP_2X_880423-MLU94476120199_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-889062942-hermosa-casa-con-pisos-y-patio-nuevos-_JM
Habitaciones En Residencia Estudiantil Tres Cruces,"Juan Ramón Gómez 2514, Montevideo Departamento De Montevideo, Uruguay, Tres Cruces, Montevideo",9500,$,N/A,4,4,400,https://http2.mlstatic.com/D_NQ_NP_2X_878098-MLU71072129251_082023-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-653785395-habitaciones-en-residencia-estudiantil-tres-cruces-_JM
Casa Nueva Con Amplio Terreno. Independiente,"Gral. Antonio Diaz 4665, Montevideo, Sayago, Montevideo",16900,$,1,1,1,110,https://http2.mlstatic.com/D_NQ_NP_2X_864182-MLU96184852852_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-925871146-casa-nueva-con-amplio-terreno-independiente-_JM
"Última Unidad En Alquiler - Santa Lucía, Canelones","Gral. Mitre 191, 90200 Santa Lucía, Departamento De Canelones, Uruguay, Santa Lucía, Canelones",23500,$,2,1,1,125,https://http2.mlstatic.com/D_NQ_NP_2X_717768-MLU95850192771_102025-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-922117798-ultima-unidad-en-alquiler-santa-lucia-canelones-_JM
Local Centro Cerca 18 De Julio Con Baño Y Vidriera A La Calle,"Héctor Gutiérrez Ruiz 1274, Montevideo, Centro, Montevideo",23000,$,N/A,1,1,51,https://http2.mlstatic.com/D_NQ_NP_2X_942983-MLU82737573017_022025-E.webp,MercadoLibre,https://inmueble.mercadolibre.com.uy/MLU-889268858-local-centro-cerca-18-de-julio-con-bano-y-vidriera-a-la-calle-_JM
Alquiler Local Comercial En Palermo Canelones 1529 Esquina Salto,"Pdte. Berro 2651, Montevideo, Tres Cruces, Montevideo",23000,$,N/A,1,1,30,https://http2.mlstatic.com/D_NQ_NP_2X_872295-MLU96065404103_102025-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-889268916-alquiler-local-comercial-en-palermo-canelones-1529-esquina-salto-_JM
Alquiler Casa Apartamento Piriápolis,"Atanasio Sierra 917, Piriápolis, Maldonado",1500,$,2,1,1,45,https://http2.mlstatic.com/D_NQ_NP_2X_889836-MLU48468181246_122021-E.webp,MercadoLibre,https://casa.mercadolibre.com.uy/MLU-653554615-alquiler-casa-apartamento-piriapolis-_JM
Alquiler De Apartamento Casa En Paso De Los Toros.,"Ernesto Perez 464, 45100 Paso De Los Toros Departamento De Tacuarembó, Uruguay, Paso De Los Toros, Tacuarembó",2000,$,1,1,1,40,https://http2.mlstatic.com/D_NQ_NP_2X_889936-MLU48669824002_122021-E.webp,MercadoLibre,https://apartamento.mercadolibre.com.uy/MLU-653551933-alquiler-de-apartamento-casa-en-paso-de-los-toros-_JM
